,Country,Year,Commodity,Flow,Trade (USD)
328,Belgium,2000,Articles of rare earths/metals nes,Import,3581728.0
329,Belgium,2000,Articles of rare earths/metals nes,Export,6285316.0
330,Belgium,1999,Articles of rare earths/metals nes,Import,1375994.0
331,Belgium,1999,Articles of rare earths/metals nes,Export,4121051.0
332,Belgium-Luxembourg,1998,Articles of rare earths/metals nes,Import,1779906.0
333,Belgium-Luxembourg,1998,Articles of rare earths/metals nes,Export,8545302.0
334,Belgium-Luxembourg,1997,Articles of rare earths/metals nes,Import,773525.0
335,Belgium-Luxembourg,1997,Articles of rare earths/metals nes,Export,7026891.0
336,Belgium-Luxembourg,1996,Articles of rare earths/metals nes,Import,1259262.0
337,Belgium-Luxembourg,1996,Articles of rare earths/metals nes,Export,5365275.0
338,Belgium-Luxembourg,1995,Articles of rare earths/metals nes,Import,1288697.0
339,Belgium-Luxembourg,1995,Articles of rare earths/metals nes,Export,4892845.0
340,Belize,2013,Articles of rare earths/metals nes,Import,13.0
341,Belize,2001,Articles of rare earths/metals nes,Import,13.0
342,Belize,1993,Articles of rare earths/metals nes,Import,319.0
343,Bermuda,2018,Articles of rare earths/metals nes,Import,1391.03
344,Bermuda,2017,Articles of rare earths/metals nes,Import,1343.93
345,Bermuda,2016,Articles of rare earths/metals nes,Import,1285.0
346,Bermuda,2015,Articles of rare earths/metals nes,Import,702.0
347,Bermuda,1997,Articles of rare earths/metals nes,Import,81086.0
348,Bermuda,1995,Articles of rare earths/metals nes,Import,245694.0
349,Bolivia (Plurinational State of),2018,Articles of rare earths/metals nes,Import,1710.2
350,Bolivia (Plurinational State of),2015,Articles of rare earths/metals nes,Import,2.01
351,Bolivia (Plurinational State of),2013,Articles of rare earths/metals nes,Import,3643.53
352,Bolivia (Plurinational State of),2013,Articles of rare earths/metals nes,Export,59422.42
353,Bolivia (Plurinational State of),2012,Articles of rare earths/metals nes,Export,25419.0
354,Bolivia (Plurinational State of),2011,Articles of rare earths/metals nes,Import,485.51
355,Bolivia (Plurinational State of),2011,Articles of rare earths/metals nes,Export,26380.85
356,Bolivia (Plurinational State of),2010,Articles of rare earths/metals nes,Import,4279.2
357,Bolivia (Plurinational State of),2010,Articles of rare earths/metals nes,Export,61867.42
358,Bolivia (Plurinational State of),2009,Articles of rare earths/metals nes,Import,2.0
359,Bolivia (Plurinational State of),2009,Articles of rare earths/metals nes,Export,109625.0
360,Bolivia (Plurinational State of),2008,Articles of rare earths/metals nes,Import,12797.0
361,Bolivia (Plurinational State of),2008,Articles of rare earths/metals nes,Export,419967.0
362,Bolivia (Plurinational State of),2007,Articles of rare earths/metals nes,Import,4371.0
363,Bolivia (Plurinational State of),2007,Articles of rare earths/metals nes,Export,263970.0
364,Bolivia (Plurinational State of),2006,Articles of rare earths/metals nes,Import,4264.0
365,Bolivia (Plurinational State of),2006,Articles of rare earths/metals nes,Export,262950.0
366,Bolivia (Plurinational State of),2005,Articles of rare earths/metals nes,Import,257.0
367,Bolivia (Plurinational State of),2005,Articles of rare earths/metals nes,Export,46250.0
368,Bolivia (Plurinational State of),2004,Articles of rare earths/metals nes,Import,1463.0
369,Bolivia (Plurinational State of),2003,Articles of rare earths/metals nes,Import,18.0
370,Bolivia (Plurinational State of),2000,Articles of rare earths/metals nes,Import,329.0
371,Bolivia (Plurinational State of),1999,Articles of rare earths/metals nes,Export,2855.0
372,Bolivia (Plurinational State of),1997,Articles of rare earths/metals nes,Import,279.0
373,Bolivia (Plurinational State of),1995,Articles of rare earths/metals nes,Import,3000.0
374,Bolivia (Plurinational State of),1993,Articles of rare earths/metals nes,Import,7255.0
375,Bosnia Herzegovina,2016,Articles of rare earths/metals nes,Export,1825.0
376,Bosnia Herzegovina,2015,Articles of rare earths/metals nes,Import,2190.0
377,Bosnia Herzegovina,2013,Articles of rare earths/metals nes,Import,1174.0
378,Bosnia Herzegovina,2009,Articles of rare earths/metals nes,Import,175.0
379,Bosnia Herzegovina,2004,Articles of rare earths/metals nes,Import,49867.0
380,Botswana,2018,Articles of rare earths/metals nes,Import,91243.616924616
381,Botswana,2018,Articles of rare earths/metals nes,Export,109.5363767106
382,Botswana,2017,Articles of rare earths/metals nes,Import,87040.909135656
383,Botswana,2016,Articles of rare earths/metals nes,Import,273064.0
384,Botswana,2016,Articles of rare earths/metals nes,Export,5553.0
385,Botswana,2015,Articles of rare earths/metals nes,Import,305214.0
386,Botswana,2015,Articles of rare earths/metals nes,Export,9815.0
387,Botswana,2014,Articles of rare earths/metals nes,Import,161678.0
388,Botswana,2014,Articles of rare earths/metals nes,Export,9850.0
389,Botswana,2013,Articles of rare earths/metals nes,Import,172884.0
390,Botswana,2013,Articles of rare earths/metals nes,Export,21741.0
391,Botswana,2012,Articles of rare earths/metals nes,Import,77133.0
392,Botswana,2012,Articles of rare earths/metals nes,Export,20952.0
393,Botswana,2011,Articles of rare earths/metals nes,Import,352245.0
394,Botswana,2011,Articles of rare earths/metals nes,Export,242375.0
395,Botswana,2010,Articles of rare earths/metals nes,Import,150184.0
396,Botswana,2010,Articles of rare earths/metals nes,Export,11719.0
397,Botswana,2009,Articles of rare earths/metals nes,Import,77902.0
